BotNumber;Speed;TurnRate;SurviveTime;PunchsDone;DeadByTimer;BasicPunchLvl;SpawnLocationX;SpawnLocationY;Mass;WinsAchieved
895;1887;7;0;0;0;2;698;2069;600;1
804;28;3;21;2;0;3;1165;1042;600;4
991;2809;3;0;0;0;3;414;1127;600;1
449;2837;1;5;4;0;2;1203;526;600;1
801;218;7;15;2;0;3;2099;2435;600;3
447;1632;9;9;0;1;4;2352;2025;600;1
183;1673;8;9;0;1;2;1251;794;600;7
942;797;8;9;2;1;3;2187;391;600;1
878;26;5;4;2;0;2;1797;1835;600;1
435;553;7;7;1;0;3;739;600;600;2
877;2184;8;9;0;1;2;1091;2422;600;1
193;696;2;5;0;0;4;960;1279;600;1
428;225;5;9;0;1;4;1512;768;600;6
790;940;4;1;0;0;1;1190;1630;600;1
453;2201;1;0;0;0;4;1556;866;600;2
199;1244;6;5;1;0;4;1351;1979;600;1
788;252;3;11;3;0;4;1891;1597;600;2
417;854;1;1;0;0;3;1379;716;600;1
204;2320;5;9;0;1;4;421;754;600;1
737;19;8;0;0;0;4;1851;338;600;1
411;547;1;7;0;0;2;899;1331;600;2
410;785;9;9;3;1;1;433;1588;600;1
409;898;6;0;0;0;4;543;1328;600;1
785;1748;2;0;0;0;2;1233;2384;600;4
951;2587;8;10;7;0;3;1779;1878;600;2
784;277;2;16;1;0;4;1036;2233;600;4
215;1287;9;11;5;0;3;1525;641;600;2
984;2475;4;0;0;0;2;1641;826;600;1
405;245;6;7;3;0;3;634;1188;600;1
734;1192;4;5;7;0;4;1986;1791;600;2
219;2775;7;2;0;0;4;1088;1159;600;2
172;551;8;7;3;0;2;2197;1664;600;7
463;722;6;6;3;0;4;2206;1260;600;1
131;684;5;0;0;0;4;359;1221;600;1
498;2332;2;7;5;0;3;1200;622;600;2
134;2602;6;11;9;0;3;1978;1454;600;2
497;2341;1;1;0;0;3;2387;420;600;1
136;242;5;22;5;0;3;751;372;600;7
139;1874;3;16;4;0;2;2283;2001;600;2
492;187;9;7;4;0;3;2286;2212;600;1
141;1274;9;1;0;0;1;2047;1568;600;4
881;1089;1;4;1;0;4;1524;422;600;1
936;275;3;12;1;0;2;1050;851;600;2
938;1030;1;12;7;0;4;452;1053;600;3
145;739;8;8;1;0;2;1593;1830;600;1
939;231;1;2;0;0;4;1097;626;600;1
170;1018;9;7;3;0;3;1799;2056;600;2
814;878;1;3;0;0;2;920;1280;600;1
149;1187;2;15;7;0;4;1523;388;600;5
151;2641;7;1;0;0;3;796;404;600;1
481;2361;1;0;0;0;3;1239;630;600;1
309;1796;3;4;0;0;3;453;2387;600;1
809;2984;2;0;0;0;4;1951;1072;600;1
474;2539;8;12;4;0;4;1690;1668;600;3
997;2848;1;0;0;0;3;1666;1137;600;1
473;1733;1;13;4;0;2;1077;1343;600;2
718;2399;9;2;0;0;2;1483;965;600;1
470;2469;2;7;5;0;4;1358;895;600;1
162;545;6;14;4;0;3;616;828;600;4
163;2389;7;17;0;0;4;470;1089;600;6
720;2618;7;9;2;1;3;453;865;600;1
